Census Track,County,State
3766,Adair,Oklahoma
3767,Adair,Oklahoma
3768,Adair,Oklahoma
3769,Adair,Oklahoma
3770,Adair,Oklahoma
9556,Alfalfa,Oklahoma
9557,Alfalfa,Oklahoma
9560,Alfalfa,Oklahoma
5876,Atoka,Oklahoma
5877,Atoka,Oklahoma
5878,Atoka,Oklahoma
5879,Atoka,Oklahoma
9516,Beaver,Oklahoma
9517,Beaver,Oklahoma
9518,Beaver,Oklahoma
9661,Beckham,Oklahoma
9662,Beckham,Oklahoma
9665,Beckham,Oklahoma
9668,Beckham,Oklahoma
9586,Blaine,Oklahoma
9587,Blaine,Oklahoma
9588,Blaine,Oklahoma
9589,Blaine,Oklahoma
9590,Blaine,Oklahoma
7956,Bryan,Oklahoma
7957,Bryan,Oklahoma
7959,Bryan,Oklahoma
7960.01,Bryan,Oklahoma
7960.02,Bryan,Oklahoma
7961,Bryan,Oklahoma
7962,Bryan,Oklahoma
7963,Bryan,Oklahoma
7964,Bryan,Oklahoma
7965,Bryan,Oklahoma
7966,Bryan,Oklahoma
1616,Caddo,Oklahoma
1617,Caddo,Oklahoma
1618,Caddo,Oklahoma
1619,Caddo,Oklahoma
1620,Caddo,Oklahoma
1621,Caddo,Oklahoma
1622,Caddo,Oklahoma
1623,Caddo,Oklahoma
3001,Canadian,Oklahoma
3002.01,Canadian,Oklahoma
3002.02,Canadian,Oklahoma
3003,Canadian,Oklahoma
3004,Canadian,Oklahoma
3005,Canadian,Oklahoma
3006,Canadian,Oklahoma
3007,Canadian,Oklahoma
3008.01,Canadian,Oklahoma
3008.02,Canadian,Oklahoma
3009.01,Canadian,Oklahoma
3009.02,Canadian,Oklahoma
3009.04,Canadian,Oklahoma
3009.05,Canadian,Oklahoma
3010.01,Canadian,Oklahoma
3010.03,Canadian,Oklahoma
3010.06,Canadian,Oklahoma
3010.07,Canadian,Oklahoma
3010.08,Canadian,Oklahoma
3010.09,Canadian,Oklahoma
3011,Canadian,Oklahoma
3012.01,Canadian,Oklahoma
3012.02,Canadian,Oklahoma
3013,Canadian,Oklahoma
3014.06,Canadian,Oklahoma
3014.07,Canadian,Oklahoma
3014.08,Canadian,Oklahoma
3014.09,Canadian,Oklahoma
3014.10,Canadian,Oklahoma
8921,Carter,Oklahoma
8922,Carter,Oklahoma
8923,Carter,Oklahoma
8924,Carter,Oklahoma
8925,Carter,Oklahoma
8926,Carter,Oklahoma
8927,Carter,Oklahoma
8928,Carter,Oklahoma
8929,Carter,Oklahoma
8930,Carter,Oklahoma
8931,Carter,Oklahoma
9776,Cherokee,Oklahoma
9777,Cherokee,Oklahoma
9778,Cherokee,Oklahoma
9779,Cherokee,Oklahoma
9780,Cherokee,Oklahoma
9781,Cherokee,Oklahoma
9782.01,Cherokee,Oklahoma
9782.02,Cherokee,Oklahoma
9783,Cherokee,Oklahoma
9669,Choctaw,Oklahoma
9670,Choctaw,Oklahoma
